Seasons,Age,Squad,Country,Team Rank,Goals of Ronaldo,Assists of Ronaldo
2004-2005,19,Manchester Utd,ENGLAND,3,5,4
2005-2006,20,Manchester Utd,ENGLAND,2,9,6
2006-2007,21,Manchester Utd,ENGLAND,1,17,8
2007-2008,22,Manchester Utd,ENGLAND,1,31,6
2008-2009,23,Manchester Utd,ENGLAND,1,18,4
2009-2010,24,Real Madrid,SPAIN,2,26,7
2010-2011,25,Real Madrid,SPAIN,2,40,9
2011-2012,26,Real Madrid,SPAIN,1,46,12
2012-2013,27,Real Madrid,SPAIN,2,34,10
2013-2014,28,Real Madrid,SPAIN,2,31,9
2014-2015,29,Real Madrid,SPAIN,1,48,16
2015-2016,30,Real Madrid,SPAIN,2,35,11
2016-2017,31,Real Madrid,SPAIN,3,25,6
2017-2018,32,Real Madrid,SPAIN,2,26,5
2018-2019,33,Juventus,ITALY,1,21,8
2019-2020,34,Juventus,ITALY,1,31,5
2020-2021,35,Juventus,ITALY,1,29,2
